Classification,Precision,Recall,F1-Score,Support
Abyssinian,0.73,0.71,0.72,45
Bengal,0.72,0.66,0.69,44
Birman,0.74,0.59,0.66,39
Bombay,1,0.89,0.94,47
British_Shorthair,0.75,0.79,0.77,34
Egyptian_Mau,0.88,0.64,0.74,36
Maine_Coon,0.78,0.8,0.79,45
Persian,0.9,0.83,0.86,52
Ragdoll,0.72,0.81,0.76,42
Russian_Blue,0.79,0.63,0.7,30
Siamese,0.74,0.83,0.78,48
Sphynx,0.77,0.77,0.77,31
american_bulldog,0.61,0.76,0.67,37
american_pit_bull_terrier,0.37,0.56,0.45,39
basset_hound,0.74,0.72,0.73,40
beagle,0.68,0.65,0.67,43
boxer,0.74,0.71,0.72,24
chihuahua,0.73,0.63,0.68,43
english_cocker_spaniel,0.64,0.61,0.62,38
english_setter,0.61,0.71,0.66,31
german_shorthaired,0.74,0.71,0.72,35
great_pyrenees,0.73,0.85,0.79,39
havanese,0.6,0.76,0.67,37
japanese_chin,0.92,0.8,0.86,30
keeshond,0.89,0.89,0.89,35
leonberger,0.75,0.8,0.77,30
miniature_pinscher,0.6,0.79,0.68,48
newfoundland,0.78,0.84,0.81,43
pomeranian,0.8,0.9,0.85,61
pug,0.78,1,0.88,46
saint_bernard,0.96,0.69,0.81,39
samoyed,0.79,0.65,0.71,34
scottish_terrier,0.88,0.66,0.75,44
shiba_inu,0.94,0.68,0.79,47
staffordshire_bull_terrier,0.55,0.41,0.47,41
wheaten_terrier,0.79,0.57,0.67,40
yorkshire_terrier,0.64,0.83,0.72,41
,,,,
accuracy,,,0.74,1478
macro avg,0.75,0.73,0.74,1478
weighted avg,0.75,0.74,0.74,1478
